2023-11-05 15:41:28 228:  userName : admin
2023-11-05 23:55:34 980:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:55:34 988:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:55:34 993:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:55:35 000:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:55:35 006:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:55:35 013:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:55:35 020:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:55:35 026:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:55:35 033:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:55:35 040:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:55:35 045:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:55:35 051:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:55:35 056:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:55:35 063:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:55:35 070:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:57:35 017:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:57:35 024:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:57:35 029:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:57:35 035:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:57:35 041:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:57:35 046:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:57:35 053:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:57:35 058:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:57:35 064:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:57:35 069:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:57:35 074:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:57:35 080:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:57:35 084:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:57:35 090:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:57:35 094:  GetDeviceName => serialNumber = flap-15-on
2023-11-05 23:59:34 996:  GetDeviceName => serialNumber = flap-1-on
2023-11-05 23:59:35 002:  GetDeviceName => serialNumber = flap-2-on
2023-11-05 23:59:35 006:  GetDeviceName => serialNumber = flap-3-on
2023-11-05 23:59:35 010:  GetDeviceName => serialNumber = flap-4-on
2023-11-05 23:59:35 013:  GetDeviceName => serialNumber = flap-5-on
2023-11-05 23:59:35 017:  GetDeviceName => serialNumber = flap-6-on
2023-11-05 23:59:35 020:  GetDeviceName => serialNumber = flap-7-on
2023-11-05 23:59:35 024:  GetDeviceName => serialNumber = flap-8-on
2023-11-05 23:59:35 028:  GetDeviceName => serialNumber = flap-9-on
2023-11-05 23:59:35 031:  GetDeviceName => serialNumber = flap-10-on
2023-11-05 23:59:35 035:  GetDeviceName => serialNumber = flap-11-on
2023-11-05 23:59:35 041:  GetDeviceName => serialNumber = flap-12-on
2023-11-05 23:59:35 049:  GetDeviceName => serialNumber = flap-13-on
2023-11-05 23:59:35 054:  GetDeviceName => serialNumber = flap-14-on
2023-11-05 23:59:35 059:  GetDeviceName => serialNumber = flap-15-on
